"Id","Result","Notes","Evidence"
"TC-051","Pass","Expense created as DRAFT for correct client/firm","id=4fcf7c6b-9bd7-46bb-a648-f9953b0f2b04 status=DRAFT amount=125.50"
"TC-052","Pass","Draft updated; EXPENSE_UPDATED audit recorded","amount=200.00 cat=b36ad9f5-ce1b-4f5d-8234-e950c2638937 audit=1"
"TC-053","Pass","Draft hard-deleted per design; approved record unaffected","delete=204 get=404 keep=200 db=0"
"TC-054","Pass","Status APPROVED; approvedBy/approvedAt recorded","status=APPROVED approvedAt=2026-09-03T12:52:00.457683Z by=b27619b7-c394-4c4f-931c-b79a5617d671"
"TC-055","Pass","Approved expense update rejected; amount unchanged","status=422 amount=200.0000 {""detail"":""Approved transactions cannot be edited or deleted"",""instance"":""/api/v1/clients/3a86926b-9b5e-46f3-9bfd-a1b50928ffab/expenses/4fcf7c6b-9bd7-46bb-a648-f9953b0f2b04"",""status"":422,""title"":""Business Rule Violation"",""errorCode"":""TRANSACTION_ALREADY_APPROVED""}"
"TC-056","Pass","VOID with actor/time/reason; row retained","status=VOID by=b27619b7-c394-4c4f-931c-b79a5617d671 reason=Duplicate entry"
"TC-057","Pass","VOID->APPROVE rejected","status=422 {""detail"":""Voided transactions cannot be approved"",""instance"":""/api/v1/clients/3a86926b-9b5e-46f3-9bfd-a1b50928ffab/expenses/4fcf7c6b-9bd7-46bb-a648-f9953b0f2b04/approve"",""status"":422,""title"":""Business Rule Violation"",""errorCode"":""TRANSACTION_ALREADY_VOID""}"
"TC-058","Pass","BUSINESS_OWNER approve forbidden; draft unchanged","create=201 approve=403"
"TC-059","Pass","Auditor status=DRAFT returns no drafts","count=2 ids=4fcf7c6b-9bd7-46bb-a648-f9953b0f2b04,fd8aa92c-c495-4a4e-b3a6-e5c55d923a65"
"TC-060","Pass","READ_ONLY accountant create forbidden","{""detail"":""Write access to this client is not permitted"",""instance"":""/api/v1/clients/3a86926b-9b5e-46f3-9bfd-a1b50928ffab/expenses"",""status"":403,""title"":""Forbidden"",""errorCode"":""ACCESS_DENIED""}"
"TC-061","Pass","UPLOAD_ONLY owner expense list forbidden","{""detail"":""Upload-only users cannot access ledger transactions"",""instance"":""/api/v1/clients/3a86926b-9b5e-46f3-9bfd-a1b50928ffab/expenses"",""status"":403,""title"":""Forbidden"",""errorCode"":""ACCESS_DENIED""}"
"TC-062","Pass","Cross-client category rejected","status=422 {""detail"":""Category does not belong to this client"",""instance"":""/api/v1/clients/3a86926b-9b5e-46f3-9bfd-a1b50928ffab/expenses"",""status"":422,""title"":""Business Rule Violation"",""errorCode"":""INVALID_CATEGORY""}"
"TC-063","Pass","Negative amount rejected with validation error","status=400 {""detail"":""One or more fields are invalid."",""instance"":""/api/v1/clients/3a86926b-9b5e-46f3-9bfd-a1b50928ffab/expenses"",""status"":400,""title"":""Validation Failed"",""errorCode"":""VALIDATION_FAILED"",""errors"":{""amount"":""Amount must be greater than zero""}}"
"TC-064","Pass","Income created as DRAFT","id=313cda0c-7361-435e-8b88-30f452fd236b status=DRAFT"
"TC-065","Pass","Approval rejected without payment method","status=400 still=DRAFT"
"TC-066","Pass","Income APPROVED with payment method and approval metadata","status=APPROVED pm=BANK_TRANSFER by=b27619b7-c394-4c4f-931c-b79a5617d671"
"TC-067","Pass","Income VOID and historically visible","status=VOID get=200 listed=True"
"TC-068","Pass","Date from/to filter returns only in-range transactions","in=True out=False count=6"
"TC-069","Pass","categoryId filter returns only matching transactions","hasTarget=True hasOther=False"
"TC-070","Pass","Admin audit query with action/resource filters and pagination","actionCount=9 total=9 resourceTotal=14"
"TC-071","Pass","Auditor sees only assigned-client audit; Client B denied","all=200 A=200 B=403 sawB=False"
"TC-072","Pass","No password/JWT/refresh token/API key in recent audit payloads","apiHits=0 dbHits=0 rows=21846"
